APPLICATION NUMBER,TYPE,YEAR ISSUED,PRINCIPAL DUE,ADDRESS, 
   329607,PERMIT,2011,294.43,3303 N 11TH ST , 
   329608,PERMIT,2011,20665.76,8088 MICHENER AVE , 
   329656,PERMIT,2011,10638.63,6162 LARCHWOOD AVE , 
   329662,PERMIT,2011,4872.09,2719 W ALBERT ST , 
   329682,PERMIT,2011,5275.32,481 E PENN ST , 
   329684,PERMIT,2011,1955.94,4550 N MARVINE ST , 
   329699,PERMIT,2011,11690.24,552 E WASHINGTON LN , 
   329772,PERMIT,2011,8202.55,3837 N 16TH ST , 
   329910,PERMIT,2011,1794.5,2936 KIP ST , 
   329912,PERMIT,2011,5457.7,1546 N FRAZIER ST , 
   329931,PERMIT,2011,3946.72,2016 LATONA ST , 
   330026,PERMIT,2011,6389.63,3330 N WATER ST , 
   330055,PERMIT,2011,341.2,1832 N 21ST ST , 
   330201,PERMIT,2011,758.28,2328 N CAMAC ST , 
   330256,PERMIT,2011,755.78,2040 WILDER ST , 
   330297,PERMIT,2011,3970.47,2817 N TAYLOR ST , 
   330298,PERMIT,2011,15643.79,7209 PITTVILLE AVE , 
   330454,PERMIT,2011,21651.72,1112 VERNON RD , 
   330490,PERMIT,2011,2785.04,3821 ASPEN ST , 
   330493,PERMIT,2011,564.93,3826 ASPEN ST , 
   330521,PERMIT,2011,5706.2,4823 HOWELL ST , 
   330626,PERMIT,2011,3382.43,2250 E TIOGA ST , 
   330685,PERMIT,2011,5237.33,2601 S 07TH ST , 
   330689,PERMIT,2011,13616.02,1640 N HANCOCK ST , 
   330722,PERMIT,2011,1946.16,1637 CADWALLADER ST , 
   330739,PERMIT,2011,5261.95,1529 S NAPA ST , 
   330749,PERMIT,2011,2468.49,3260 JOYCE ST , 
   330764,PERMIT,2011,11362.67,1660 FOULKROD ST , 
   330793,PERMIT,2011,5841.46,1914 MARGARET ST , 
   330796,PERMIT,2011,1139.13,2342 N CAMAC ST , 
   330807,PERMIT,2011,5706.2,4823 HOWELL ST , 
   330811,PERMIT,2011,3146.98,2646 REED ST , 
   330821,PERMIT,2011,4529.53,5451 MALCOLM ST , 
   330912,PERMIT,2011,3435.13,4656 BOUDINOT ST , 
   330914,PERMIT,2011,5047.14,3055 FRANKFORD AVE , 
   330942,PERMIT,2011,6509.27,2038 S CHADWICK ST , 
   330956,PERMIT,2011,0,5035 N 17TH ST , 
   331027,PERMIT,2011,17137.4,5649 N 16TH ST , 
   331032,PERMIT,2011,3324.15,2049 W TIOGA ST , 
   331035,PERMIT,2011,2262.6,3836 FOLSOM ST , 
   331038,PERMIT,2011,194.71,10103 NORTHEAST BLV , 
   331054,PERMIT,2011,707.32,1525 W STILES ST , 
   331063,PERMIT,2011,6269.46,241 W DUVAL ST , 
   331110,PERMIT,2011,4741.88,1220 W BUTLER ST , 
   331174,PERMIT,2011,16384.8,3000 E TIOGA ST , 
   331187,PERMIT,2011,939.45,3640 SEPVIVA ST , 
   331252,PERMIT,2011,3052.42,3030 PAGE ST , 
   331383,PERMIT,2011,8262.81,2811 N 20TH ST , 
   331391,PERMIT,2011,1762.82,2027 W HAGERT ST , 
   331413,PERMIT,2011,1127.24,5916 SUMMER ST , 
   331639,PERMIT,2011,5706.2,4823 HOWELL ST , 
   331701,PERMIT,2011,4526.2,2122 TITAN ST , 
   331773,PERMIT,2011,2121.18,4629 GERMANTOWN AVE , 
   331784,PERMIT,2011,4613.32,6557 N LAMBERT ST , 
   331786,PERMIT,2011,10249.22,2821 S MARSHALL ST , 
   331801,PERMIT,2011,2315.22,3450 N 02ND ST , 
   331821,PERMIT,2011,3558.47,5467 N MARVINE ST , 
   331838,PERMIT,2011,0,2018 WALNUT ST G225, 
   331850,PERMIT,2011,2630.41,3323 N 02ND ST , 
   331971,PERMIT,2011,2544.29,3250 EMERY ST , 
   331976,PERMIT,2011,47720.35,3111 GRAYS FERRY AVE , 
   332029,PERMIT,2011,11768.53,1625 LEWIS ST , 
   332044,PERMIT,2011,7098.45,5018 OGONTZ AVE , 
   332059,PERMIT,2011,7149.02,3116 N 25TH ST , 
   332061,PERMIT,2011,2923.29,1320 S MOLE ST , 
